review,address
"Avengers: Endgame is dumb. Very dumb. It's a messy, convoluted time-caper strung together by cheesy one-liners, lowbrow actions, and halfwitted takes on morals, ethics, and the value we place on life. I understand that one doesn't go into a Marvel flick expecting high art, but the mass public fascination towards these characters and the esteem critics hold this film in would suggest otherwise. More to the point, I think that when you have this large of an audience, mainly of impressionable teens who are forming complex worldviews, you have a responsibility to give people something real to chew on.The actors clearly had a good time working on this picture and their acting charisma really is a force to be reckoned with. That much I'll give the movie credit for.",39 Aaron Place Norwood VIC 5091
What an unbelievable accomplishment to have shaped the previous 21 movies and end it here in the most beautiful perfect way possible. Endgame is the be all and end all of MCU movies.,461 Achernar Close Bondi Junction VIC 5125
"Disclosure: I'm NOT a Marvel superfan, but I've seen all the movies, starting with Iron Man (actually, starting with Howard the Duck), and I was starting to get tired of these. However, this is a really good movie. A little bloated at 3 hours, yes, and it takes almost a full hour to really kick into gear, but they writers/director do an excellent job wrapping things up.  Some truly touching moments, and some extremely funny moments.  (""Hello Jeff Lebowsky!"") I though Capt. Marvel was given a short shrift, but I suppose that makes sense given her late entry in the series in general.  Clearly, we're not going to be seeing certain character(s) after this film, but I think it's deftly handled for maximum emotional payoff.  In my theater, there were belly laughs, cheers, and ugly cries.  Can't expect much more than that in a big budget flick, huh?",24 Adair Street Bundaberg VIC 2127
"""Avengers: Endgame"" is about memories, nostalgia and tons of fan-service moments. This is a movie that understands its audience and fans, trying to give each character's story closure without forgetting to provide valuable entertainment for the whole crowd. It also might be a tad too cheesy for some people's taste, particularly when there's a comedic relief scene.My biggest concern coming into this movie was the insertion of bland and uninspired jokes that plagued my overall solid experience in ""Infinity War"". This film was an improvement in that regard but it isn't without its cringe-inducing moments. Things like the ""Fortnite"" scene (and more than that I won't say) just made me roll my eyes. It's unbelievable how they manage to overkill it with these comedic scenes that are so painfully unnecessary and do nothing to advance the plot. I understand that you're trying to make your audience have a good time and all, but this is just unbearable.Other than that, the comedy - I thought - worked just nicely for the most part. The jokes that existed didn't ruin the tension.The characters were very central in this movie. Some characters shined; others not so much. I didn't like ""Captain Marvel"" and I certainly don't like the titular character, so I was grateful that she was underused in this movie. Everytime she's on screen and she smiles at the camera, it feels as though the actress is trying to show charisma, but there's none whatsoever. Not that the actress is awful - it's simply that she is not as interesting as the writers are portraying her to be. I know some critics enjoyed Chris Hemsworth's performance and the character, but it's sad to see that the character is reduced to a comedic relief (again).The movie also boasts an impressive budget, with so many set-pieces and computer-generated effects to be observed. This element of the movie provided the writers with so many angles to explore the story. While ""Avengers: Endgame"" is three hours long, the narrative is entertaining enough to overcome the more stale sequences. The movie never feels dull and it keeps you in the edge of your seat. I had a fun time watching it.7/10.",51 Academy Close Floreat VIC 2680
"It feels and watches like a seasin finale of a series. You don't expect it to be good. You expect certain thing to happen. They happen. And it's not good. This picture is about 4 of the avengers. The rest is not important and non-existent. Tip for Disney: when you hype different, fake plots to keep the real one secret, try to make this real one better then the fakes...",12 Abercorn Crescent Joondalup NSW 3055
"They got so many things right... then turned around and got so many things wrong.If I had to guess there were many disagreements about how to go about this movie and it shows in the writing/pacing.Im sure this movie will go down in the record books both in money made and ratings, but there are so many movies in the MCU that are better written and better executed.Ill watch it again once it comes out on dvd and see if a second viewing changes my opinion.",4 Abernethy Street Greenwith NSW 2745
"Everyone needs to stop freaking out about the 3 hour runtime. The movie isn't even 3 hours, it's the credits that gets it there. Seriously. Anyway, this is easily the best Marvel movie to date and I don't know how it could ever be topped. Any negative review is just ignorant and shows bad taste. A fantastic ""end"" to a truly fantastic saga, and an astounding beginning to whatever they give us next. Bravo, Marvel.I dedicate this review to Stan Lee, the man with one of the biggest legacies that will ever exist, and just an amazing human being.",64 Adkinson Close Belmont VIC 4306
What a movie! Well worth the wait. I can't wait to see it again. It was hard not to let the tears flow with such an epic climax to 21 movies. I loved everything about it and was one of the most fun movies I've ever seen.,30 Abercrombie Circuit Hazelbrook  5571
"Endgame was a frustrating film for me to review, Because on one hand I was mindblown by the sheer force of this film. While, it is a satisfying conclusion to the stories of Iron-Man, Captain America and a few others; you can't help but get confused by the convoluted and overthought time-heist middle of the film. It's not as good as Infinity Wars it still provides a ton of emotionally satisfying moments that should please longtime fans of the series.",21 Adcock Place Poowong North VIC 4055
Avengers: Endgame is the most satisfying conclusion possible to 11 years of built anticipation. The movie contains a fantastic balance between classic Marvel humor while making the entire audience aware of the stakes and the gravity of the situation. References to previous MCU entries are constant and emotional moments are present throughout. I cannot recommend this movie highly enough.,87 A'beckett Street Strathalbyn NSW 5073
