rec_id,given_name,surname,street_number,address_1,suburb,postcode,state,date_of_birth
rec-454-dup-0,hayden,vincent,4,tarana street,forster teys,4670,wa,19511009
rec-222-dup-0,emiiyl,coleman,108,chewings street,wellington point,2550,nsw,19421221
rec-348-dup-0,lauren,panagais,9,eleanora strreet,cronulla,5038,nsw,19380726
rec-39-dup-0,daniel,couzens,37,coventry close,mount eliza,5073,nsw,19881127
rec-87-dup-0,lara,osfoeld,144,,glenwood,2295,nsw,19911030
rec-258-dup-0,mikayla,egan,109,heidelberg street,mermaid waters,3875,,19731003
rec-138-dup-0,holly,siemers,8,strachan place,beaudesert,2104,sa,19610319
rec-268-dup-0,crystal,reid,,palana place,bucaisa,3222,wa,19600331
rec-113-dup-0,layla,ryan,720,tregellas crescent,collinswood,3400,nsw,19920526
rec-435-dup-0,holly,leong,219,lorne park,norton summit,5067,nsw,19000404
rec-118-dup-0,sienna,georege,22,hoad place,burwood east,3860,nsw,19661026
rec-281-dup-0,benjsmin,fitzpatrick,66,little ilace,bellevue hill,3218,sa,19790929
rec-49-dup-0,darcy,hochunli,22,lawrence close,sefton park,2380,tas,19370607
rec-420-dup-0,,sedecki,12,derrilin place,loganholm e,4061,nsw,19801116
rec-494-dup-0,chelsae,hanigan,46,mcmillan crescent,fullarton,3037,nsq,19960122
rec-377-dup-0,jacqueline,newb ofund,80,dalrymple street,,3153,nsw,19200924
rec-474-dup-0,macgo wan,darcie,17,james street,north cuml curl,3030,nsw,19880925
rec-441-dup-0,sam,besm,1,albermarle lace,hastings,2614,nsw,19720806
rec-167-dup-0,,green,30,wallace h eights,boundary bend,2747,qld,19310903
rec-456-dup-0,,siwggs,1,givens srteet,kyogle,2170,qld,19521123
rec-398-dup-0,wiechec,mikhayla,58,gilmore drescent,goonelrabah,3138,qld,19581122
rec-349-dup-0,white,chelsea,66,glossop crescent,boulder,6009,nsw,19210810
rec-401-dup-0,matthew,green,28,banks srteet,mooroofbark,6108,nsw,19161230
rec-103-dup-0,mason,hyland,41,blackburhn street,cronulla,5491,nsw,19630809
rec-405-dup-0,sophie,mewett,11,sculptor street,blakctown,5034,vic,19081112
rec-149-dup-0,mccarthy,kydan,67,clemengerxstreet,fairlawn,6452,nsw,19729518
rec-356-dup-0,timothy,zaluski,94,fraser court,mount melville,3095,vic,19841003
rec-52-dup-0,thomas,campebll,29,orion p lface,kyabram,4207,nsw,19040329
rec-424-dup-0,carla,amiet,5,carstensz street,blackmans bay,3180,nsw,19790801
rec-311-dup-0,caitlin,clarke,,sternberg crescent,rankin park,3909,nsw,19680216
rec-284-dup-0,jacob,di chiera,61,bimbiang crescent,unanderra,4680,nsw,19610831
rec-299-dup-0,emma,ladeaman,127,badimara street,kendall,4227,qld,19621226
rec-109-dup-0,adriana,rdud,7,dickson chiropractic dbickson chambers,kilsyth,3910,qld,19501217
rec-90-dup-0,joshua,price-austin,04,kingsmillcstreet,mullumbimby,4032,act,19210303
rec-278-dup-0,joshus,maclennan,41,karsjl,eight mile plains,2795,qld,19700525
rec-326-dup-0,teegan,dreckow,6,lawrence crlescent,mona vale,4704,nsw,19750629
rec-135-dup-0,hugo,morrison,28,yakillip park,cranbourne,4670,nsw,19561224
rec-358-dup-0,caleb,ferrus,4,grattan court,hoppers crossing,2060,wa,19960205
rec-380-dup-0,folo,neneh,514,kangaroo court,bridgwater,2536,tas,19441006
rec-364-dup-0,baile,campbell,136,porteous crescent,albany creek,3942,vic,19830721
rec-350-dup-0,monique,gergely,21,harwoos court,sherwood,2207,nsw,19790807
rec-391-dup-0,charman,blade,24,mcvilly cose,cooran,4211,nsw,19980531
rec-457-dup-0,alice,bellchambers,267,swanton wtreet,blacjtwon,3136,vic,19381230
rec-41-dup-0,claudia,eglin ton,50,glenelg street,roleystone,4556,vic,19811022
rec-267-dup-0,griffin,coleman,42,lypaitt,hoppers crossing,6064,nsw,19070716
rec-485-dup-0,michael,nguyen,,roseworthy crescent,colac,2198,qld,19011004
rec-192-dup-0,cochrane,renee,31,gledden street,forreton,2011,qld,19880821
rec-361-dup-0,lachlan-john,green,5,,blacktown,2085,nsw,19610527
rec-247-dup-0,lily,huxley,45,currie crescent,beverly hills,2073,qld,19510420
rec-283-dup-0,caleb,radic,17,moon place,south perth,4305,nsw,19471021
rec-381-dup-0,anneliese,clarke,109,arawang,pakenham,3114,nsw,19000404
rec-436-dup-0,samel,bruinewoud,41,jabanunggz avenue,woodgate,4507,nsw,19821107
rec-191-dup-0,charlotte,matthews,101,britten-jones drive,forest hill,2745,vic,19760807
rec-378-dup-0,sam,white,21,pryor place,cmoo,4507,nsw,19390109
rec-399-dup-0,mikhayla,blunden,,andrews street,east innisfail,4131,qld,19500525
rec-461-dup-0,brianna,white,18,dakin place,ballina,4860,vic,19130918
rec-141-dup-0,tia,gols,101,boron ia drive,sunnybank,3020,sa,19961121
rec-331-dup-0,riley,freq,33,clive stee le avenue,ascot vale,7250,vic,19210304
rec-42-dup-0,morclm,thomas,16,alexandria street,vermont south,3714,vic,19800706
rec-88-dup-0,vanessa,blake,,wheeler crescent,berwick,3051,wa,19630305
rec-482-dup-0,charlotte,robskon,23,nicholas street,,2280,vic,19620503
